# kinematic_a = 2.049260
# kinematic_b = 0.667339
# shrinkage_k = 2
# density_bands = 0,1,2
# carrying_values = 0,1
# built_at = 2026-05-14T08:14:58.305791Z
# train_rows = 19473
# seeds = 0,1,2,3,4
KIND;FROM;TO;EDGE_TYPE;CARRYING;DENSITY;RESIDUAL;COUNT;STD;P90
EDGE;14;206;StationQueue;1;1;0.165238;2;0.000000;0.273309
EDGE;14;207;StationQueue;1;0;0.189798;12;0.452267;0.940649
EDGE;14;207;StationQueue;1;1;0.018328;1;0.000000;-0.059351
EDGE;14;208;StationQueue;1;0;0.002164;6;0.516398;0.607988
EDGE;14;209;StationQueue;1;0;0.268356;24;0.000000;0.275328
EDGE;14;209;StationQueue;1;1;0.202608;4;0.000000;0.275328
EDGE;14;210;StationQueue;1;0;0.206113;34;0.447811;0.942667
EDGE;14;210;StationQueue;1;1;0.221292;6;0.516398;0.942667
EDGE;14;211;StationQueue;1;0;0.066438;29;0.506120;0.610006
EDGE;14;211;StationQueue;1;1;0.346797;6;0.408248;0.610006
EDGE;14;212;StationQueue;1;0;0.261903;10;0.000000;0.277346
EDGE;14;212;StationQueue;1;1;0.167257;2;0.000000;0.277346
EDGE;14;213;StationQueue;1;0;0.214285;48;0.449093;0.944685
EDGE;14;213;StationQueue;1;1;0.189678;3;0.577350;0.744685
EDGE;14;214;StationQueue;1;0;0.397876;16;0.403113;0.612025
EDGE;14;214;StationQueue;1;1;0.223310;6;0.516398;0.612025
EDGE;14;215;StationQueue;1;0;0.272351;25;0.000000;0.279364
EDGE;14;215;StationQueue;1;1;0.234925;8;0.000000;0.279364
EDGE;14;216;StationQueue;1;0;0.052130;12;0.288675;-0.053297
EDGE;14;216;StationQueue;1;1;-0.021735;5;0.000000;-0.053297
EDGE;14;217;StationQueue;1;0;0.125818;10;0.527046;0.614043
EDGE;14;217;StationQueue;1;1;0.063418;20;0.510418;0.614043
EDGE;14;304;StationQueue;1;0;0.106537;20;0.366348;0.948722
EDGE;14;304;StationQueue;1;1;-0.027179;7;0.000000;-0.051278
EDGE;14;305;StationQueue;1;0;-0.004852;1;0.000000;-0.383939
EDGE;14;305;StationQueue;1;1;0.336614;2;0.000000;0.616061
EDGE;15;207;StationQueue;1;1;0.574108;1;0.000000;1.607988
EDGE;15;213;StationQueue;1;1;0.575453;1;0.000000;1.612025
EDGE;15;214;StationQueue;1;1;0.464566;1;0.000000;1.279364
EDGE;16;17;StationEntrance;1;0;0.306577;13;1.320451;1.283401
EDGE;16;17;StationEntrance;1;1;0.986673;21;3.026864;7.283401
EDGE;16;17;StationEntrance;1;2;-0.383790;1;0.000000;-0.716599
EDGE;17;18;StationEntrance;1;0;0.301369;73;0.234082;0.283401
EDGE;17;18;StationEntrance;1;1;0.347106;299;0.563612;0.283401
EDGE;17;18;StationEntrance;1;2;0.283270;10;0.737865;0.483401
EDGE;17;21;StationEntrance;1;0;-0.321909;9;0.000000;-0.383939
EDGE;17;22;StationEntrance;1;0;-0.049578;8;0.000000;-0.051278
EDGE;18;19;StationEntrance;1;1;0.273219;79;0.000000;0.283401
EDGE;18;19;StationEntrance;1;2;0.276522;289;0.058824;0.283401
EDGE;18;21;StationEntrance;1;1;-0.427938;9;0.666667;-0.316599
EDGE;18;21;StationEntrance;1;2;3.711747;5;0.000000;5.283401
EDGE;19;20;StationEntrance;1;0;0.274817;74;0.000000;0.283401
EDGE;19;20;StationEntrance;1;1;0.106088;279;0.381186;0.283401
EDGE;19;20;StationEntrance;1;2;0.165661;15;0.258199;0.283401
EDGE;20;21;StationEntrance;1;0;-0.578503;15;0.258199;-0.716599
EDGE;20;21;StationEntrance;1;1;-0.519928;426;0.396540;0.283401
EDGE;20;21;StationEntrance;1;2;-0.582472;80;0.332805;0.283401
EDGE;21;22;StationEntrance;1;0;-0.066660;37;0.483978;0.283401
EDGE;21;22;StationEntrance;1;1;-0.692968;217;0.134823;-0.716599
EDGE;21;22;StationEntrance;1;2;-0.703091;294;0.100670;-0.716599
EDGE;22;23;StationEntrance;1;0;0.065950;1;0.000000;0.283401
EDGE;22;23;StationEntrance;1;1;0.145946;4;0.000000;0.283401
EDGE;22;23;StationEntrance;1;2;-0.050457;1;0.000000;0.283401
EDGE;22;65;StationQueue;1;0;0.249152;4;0.000000;0.281382
EDGE;22;65;StationQueue;1;1;0.272231;47;0.000000;0.281382
EDGE;22;65;StationQueue;1;2;0.262031;32;0.000000;0.281382
EDGE;22;162;StationQueue;1;0;-0.195741;4;0.000000;-0.385957
EDGE;22;162;StationQueue;1;1;-0.175734;26;0.401918;0.614043
EDGE;22;162;StationQueue;1;2;-0.335147;31;0.179605;-0.385957
EDGE;22;163;StationQueue;1;0;0.105362;1;0.000000;-0.053297
EDGE;22;163;StationQueue;1;1;-0.044799;24;0.000000;-0.053297
EDGE;22;163;StationQueue;1;2;-0.053025;40;0.000000;-0.053297
EDGE;22;164;StationQueue;1;0;0.252315;5;0.000000;0.279364
EDGE;22;164;StationQueue;1;1;0.257144;18;0.000000;0.279364
EDGE;22;164;StationQueue;1;2;0.253207;23;0.000000;0.279364
EDGE;22;165;StationQueue;1;0;-0.101642;2;0.000000;-0.387975
EDGE;22;165;StationQueue;1;1;-0.341118;17;0.000000;-0.387975
EDGE;22;165;StationQueue;1;2;-0.362762;25;0.000000;-0.387975
EDGE;22;166;StationQueue;1;0;0.040687;3;0.000000;-0.055315
EDGE;22;166;StationQueue;1;1;-0.048498;31;0.000000;-0.055315
EDGE;22;166;StationQueue;1;2;-0.027871;35;0.169031;-0.055315
EDGE;22;167;StationQueue;1;0;0.215576;1;0.000000;0.277346
EDGE;22;167;StationQueue;1;1;0.256376;19;0.000000;0.277346
EDGE;22;167;StationQueue;1;2;0.234020;13;0.000000;0.277346
EDGE;22;168;StationQueue;1;1;-0.278203;6;0.000000;-0.389994
EDGE;22;168;StationQueue;1;2;-0.321514;8;0.000000;-0.389994
EDGE;22;169;StationQueue;1;1;-0.028708;6;0.000000;-0.057333
EDGE;22;169;StationQueue;1;2;-0.055563;9;0.000000;-0.057333
EDGE;22;170;StationQueue;1;1;0.220788;6;0.000000;0.275328
EDGE;22;170;StationQueue;1;2;0.210743;8;0.000000;0.275328
EDGE;22;171;StationQueue;1;0;-0.007543;1;0.000000;-0.392012
EDGE;22;171;StationQueue;1;1;-0.154717;6;0.408248;0.107988
EDGE;22;171;StationQueue;1;2;-0.305908;6;0.000000;-0.392012
EDGE;22;172;StationQueue;1;1;-0.001092;2;0.000000;-0.059351
EDGE;22;172;StationQueue;1;2;-0.054649;3;0.000000;-0.059351
EDGE;22;173;StationQueue;1;1;0.201262;4;0.000000;0.273309
EDGE;22;173;StationQueue;1;2;0.144947;3;0.000000;0.273309
EDGE;22;174;StationQueue;1;0;-0.104670;2;0.000000;-0.394030
EDGE;22;174;StationQueue;1;1;-0.281231;6;0.000000;-0.394030
EDGE;22;174;StationQueue;1;2;-0.355537;16;0.000000;-0.394030
EDGE;22;175;StationQueue;1;0;0.102671;1;0.000000;-0.061369
EDGE;22;175;StationQueue;1;1;0.247899;2;0.707107;0.838631
EDGE;22;330;StationQueue;1;1;-0.257908;5;0.000000;-0.383939
EDGE;22;330;StationQueue;1;2;-0.271825;4;0.000000;-0.383939
EDGE;22;331;StationQueue;1;0;0.043109;3;0.000000;-0.051278
EDGE;22;331;StationQueue;1;1;-0.034594;11;0.000000;-0.051278
EDGE;22;331;StationQueue;1;2;-0.051015;26;0.000000;-0.051278
EDGE;23;164;StationQueue;1;2;0.617170;1;0.000000;1.946703
EDGE;23;166;StationQueue;1;2;0.505611;1;0.000000;1.612025
EDGE;23;169;StationQueue;1;1;0.574781;1;0.000000;1.610006
EDGE;23;330;StationQueue;1;2;0.396069;1;0.000000;1.283401
EDGE;23;331;StationQueue;1;2;0.784232;2;0.000000;1.616061
EDGE;24;25;StationEntrance;1;0;1.775382;17;3.077432;7.283401
EDGE;24;25;StationEntrance;1;1;0.636296;24;1.717345;3.283401
EDGE;24;25;StationEntrance;1;2;-0.383790;1;0.000000;-0.716599
EDGE;25;26;StationEntrance;1;0;0.341119;56;0.534522;0.283401
EDGE;25;26;StationEntrance;1;1;0.368662;305;0.757875;0.283401
EDGE;25;26;StationEntrance;1;2;0.083243;8;0.353553;0.283401
EDGE;25;29;StationEntrance;1;0;-0.270218;4;0.000000;-0.383939
EDGE;25;30;StationEntrance;1;0;-0.047027;2;0.000000;-0.051278
EDGE;26;27;StationEntrance;1;1;0.273092;78;0.000000;0.283401
EDGE;26;27;StationEntrance;1;2;0.272869;283;0.083917;0.283401
EDGE;26;29;StationEntrance;1;1;-0.399072;8;0.707107;-0.116599
EDGE;27;28;StationEntrance;1;0;0.275634;82;0.000000;0.283401
EDGE;27;28;StationEntrance;1;1;0.057007;249;0.418357;0.283401
EDGE;27;28;StationEntrance;1;2;0.220851;30;0.182574;0.283401
EDGE;28;29;StationEntrance;1;0;-0.632371;14;0.000000;-0.716599
EDGE;28;29;StationEntrance;1;1;-0.490446;410;0.417690;0.283401
EDGE;28;29;StationEntrance;1;2;-0.597571;82;0.314509;0.183401
EDGE;29;30;StationEntrance;1;0;-0.165564;44;0.503686;0.283401
EDGE;29;30;StationEntrance;1;1;-0.704581;179;0.074744;-0.716599
EDGE;29;30;StationEntrance;1;2;-0.709916;297;0.058026;-0.716599
EDGE;30;31;StationEntrance;1;0;0.065950;1;0.000000;0.283401
EDGE;30;31;StationEntrance;1;1;0.077219;2;0.000000;0.283401
EDGE;30;71;StationQueue;1;0;0.249152;4;0.000000;0.281382
EDGE;30;71;StationQueue;1;1;0.268570;33;0.000000;0.281382
EDGE;30;71;StationQueue;1;2;0.264933;38;0.000000;0.281382
EDGE;30;85;StationQueue;1;1;0.128542;1;0.000000;0.271291
EDGE;30;246;StationQueue;1;1;-0.325110;29;0.185695;-0.385957
EDGE;30;246;StationQueue;1;2;-0.370577;42;0.000000;-0.385957
EDGE;30;247;StationQueue;1;0;0.065697;2;0.000000;-0.053297
EDGE;30;247;StationQueue;1;1;-0.042250;18;0.000000;-0.053297
EDGE;30;247;StationQueue;1;2;-0.005135;19;0.229416;-0.053297
EDGE;30;248;StationQueue;1;0;0.216249;1;0.000000;0.279364
EDGE;30;248;StationQueue;1;1;0.249738;13;0.000000;0.279364
EDGE;30;248;StationQueue;1;2;0.238494;14;0.000000;0.279364
EDGE;30;249;StationQueue;1;1;-0.332332;14;0.000000;-0.387975
EDGE;30;249;StationQueue;1;2;-0.363663;26;0.000000;-0.387975
EDGE;30;250;StationQueue;1;0;0.104689;1;0.000000;-0.055315
EDGE;30;250;StationQueue;1;1;0.003017;19;0.229416;-0.055315
EDGE;30;250;StationQueue;1;2;-0.054644;21;0.000000;-0.055315
EDGE;30;251;StationQueue;1;0;0.231018;2;0.000000;0.277346
EDGE;30;251;StationQueue;1;1;0.247989;13;0.000000;0.277346
EDGE;30;251;StationQueue;1;2;0.227355;11;0.000000;0.277346
EDGE;30;252;StationQueue;1;0;-0.102651;2;0.000000;-0.389994
EDGE;30;252;StationQueue;1;1;-0.244276;11;0.301511;-0.389994
EDGE;30;252;StationQueue;1;2;-0.362602;23;0.000000;-0.389994
EDGE;30;253;StationQueue;1;1;-0.024619;5;0.000000;-0.057333
EDGE;30;253;StationQueue;1;2;-0.056035;13;0.000000;-0.057333
EDGE;30;254;StationQueue;1;0;0.214903;1;0.000000;0.275328
EDGE;30;254;StationQueue;1;1;0.246240;13;0.000000;0.275328
EDGE;30;254;StationQueue;1;2;0.239447;16;0.000000;0.275328
EDGE;30;255;StationQueue;1;0;-0.161331;3;0.000000;-0.392012
EDGE;30;255;StationQueue;1;1;-0.310343;9;0.000000;-0.392012
EDGE;30;255;StationQueue;1;2;-0.342810;12;0.000000;-0.392012
EDGE;30;256;StationQueue;1;0;0.062670;2;0.000000;-0.059351
EDGE;30;256;StationQueue;1;1;-0.047699;18;0.000000;-0.059351
EDGE;30;256;StationQueue;1;2;-0.002490;16;0.250000;-0.059351
EDGE;30;257;StationQueue;1;0;0.214230;1;0.000000;0.273309
EDGE;30;257;StationQueue;1;1;0.225278;7;0.000000;0.273309
EDGE;30;257;StationQueue;1;2;0.193083;6;0.000000;0.273309
EDGE;30;258;StationQueue;1;1;-0.303791;8;0.000000;-0.394030
EDGE;30;258;StationQueue;1;2;-0.295049;5;0.000000;-0.394030
EDGE;30;259;StationQueue;1;1;0.017655;1;0.000000;-0.061369
EDGE;30;259;StationQueue;1;2;-0.054483;2;0.000000;-0.061369
EDGE;30;342;StationQueue;1;1;-0.207496;3;0.000000;-0.383939
EDGE;30;342;StationQueue;1;2;-0.215768;2;0.000000;-0.383939
EDGE;30;343;StationQueue;1;1;-0.020294;5;0.000000;-0.051278
EDGE;30;343;StationQueue;1;2;-0.050609;9;0.000000;-0.051278
EDGE;31;248;StationQueue;1;2;0.617170;1;0.000000;1.946703
EDGE;31;250;StationQueue;1;2;0.505611;1;0.000000;1.612025
EDGE;31;258;StationQueue;1;1;0.462548;1;0.000000;1.273309
EDGE;32;317;Merge;1;0;0.230338;12;0.000000;0.273309
EDGE;33;36;Merge;1;0;-0.035420;1;0.000000;-0.051278
EDGE;33;93;PodStorageAccess;1;0;0.243621;4;0.000000;0.283401
EDGE;34;94;PodStorageAccess;1;0;0.271467;18;0.000000;0.283401
EDGE;34;317;Merge;1;0;-0.325735;9;0.000000;-0.392012
EDGE;35;95;PodStorageAccess;1;0;0.259533;8;0.000000;0.283401
EDGE;35;317;Merge;1;0;0.174388;4;0.000000;0.275328
EDGE;36;124;Aisle;1;0;-0.016728;1;0.000000;-0.051278
EDGE;37;97;PodStorageAccess;1;0;0.256881;7;0.000000;0.283401
EDGE;37;317;Merge;1;0;-0.244993;3;0.000000;-0.389994
EDGE;37;317;Merge;1;1;-0.011453;1;0.000000;-0.389994
EDGE;38;42;Merge;0;0;-0.020493;1;0.000000;0.281382
EDGE;38;98;PodStorageAccess;1;0;0.253566;6;0.000000;0.283401
EDGE;38;317;Merge;1;0;0.155411;3;0.000000;0.277346
EDGE;40;317;Merge;1;0;-0.297854;6;0.000000;-0.387975
EDGE;41;42;Merge;0;0;-0.560837;5;0.000000;-0.716599
EDGE;41;43;Merge;1;0;-0.146307;1;0.000000;-0.383939
EDGE;41;44;Merge;1;0;-0.035420;1;0.000000;-0.051278
EDGE;41;317;Merge;1;0;0.156622;3;0.000000;0.279364
EDGE;42;89;Merge;1;0;0.157833;3;0.000000;0.281382
EDGE;42;102;PodStorageAccess;0;0;0.074236;1;0.000000;0.283401
EDGE;42;116;PodStorageAccess;0;0;-0.282912;5;0.000000;-0.383939
EDGE;42;317;Merge;1;0;-0.040394;2;0.000000;-0.053297
EDGE;43;89;Merge;1;0;-0.044482;5;0.000000;-0.051278
EDGE;43;103;PodStorageAccess;1;0;0.203842;1;0.000000;0.283401
EDGE;44;89;Merge;1;0;-0.146307;1;0.000000;-0.383939
EDGE;44;104;PodStorageAccess;1;0;0.203842;1;0.000000;0.283401
EDGE;44;317;Merge;1;0;0.193133;5;0.000000;0.281382
EDGE;45;317;Merge;1;0;-0.035420;1;0.000000;-0.051278
EDGE;46;90;Merge;1;0;0.076139;1;0.000000;0.283401
EDGE;47;90;Merge;1;0;-0.282097;5;0.000000;-0.383939
EDGE;47;90;Merge;1;1;-0.009435;1;0.000000;-0.383939
EDGE;47;275;PodStorageAccess;1;0;0.267489;13;0.000000;0.283401
EDGE;47;350;Merge;1;0;0.233863;11;0.000000;0.281382
EDGE;48;90;Merge;1;0;-0.045332;6;0.000000;-0.051278
EDGE;48;94;PodStorageAccess;0;1;-0.270593;5;0.000000;-0.392012
EDGE;48;276;PodStorageAccess;1;0;0.266352;12;0.000000;0.283401
EDGE;48;350;Merge;1;0;-0.283538;5;0.000000;-0.385957
EDGE;49;90;Merge;1;0;0.242773;14;0.000000;0.281382
EDGE;49;90;Merge;1;1;0.212339;1;0.000000;0.281382
EDGE;49;221;PodStorageAccess;0;1;-0.266268;5;0.000000;-0.385957
EDGE;49;350;Merge;1;0;-0.044695;4;0.000000;-0.053297
EDGE;50;47;Merge;1;0;-0.048107;13;0.000000;-0.051278
EDGE;50;48;Merge;1;0;-0.333018;12;0.000000;-0.383939
EDGE;50;90;Merge;1;0;-0.266469;4;0.000000;-0.385957
EDGE;50;90;Merge;1;1;-0.010108;1;0.000000;-0.385957
EDGE;50;350;Merge;1;0;0.265416;42;0.000000;0.279364
EDGE;52;90;Merge;1;0;0.074794;1;0.000000;0.279364
EDGE;52;350;Merge;1;0;-0.050678;10;0.000000;-0.055315
EDGE;53;350;Merge;1;0;0.175733;4;0.000000;0.277346
EDGE;54;282;PodStorageAccess;1;0;0.253566;6;0.000000;0.283401
EDGE;54;350;Merge;1;0;-0.148325;1;0.000000;-0.389994
EDGE;56;284;PodStorageAccess;1;0;0.256881;7;0.000000;0.283401
EDGE;56;350;Merge;1;0;0.154200;3;0.000000;0.275328
EDGE;57;285;PodStorageAccess;1;0;0.259533;8;0.000000;0.283401
EDGE;57;350;Merge;1;0;-0.311007;7;0.000000;-0.392012
EDGE;58;286;PodStorageAccess;1;0;0.256881;7;0.000000;0.283401
EDGE;58;350;Merge;1;0;-0.052271;7;0.000000;-0.059351
EDGE;58;350;Merge;1;1;0.098761;1;0.000000;-0.059351
EDGE;59;90;Merge;1;0;-0.209752;2;0.000000;-0.392012
EDGE;59;350;Merge;1;0;0.173042;4;0.000000;0.273309
EDGE;60;92;PodStorageAccess;1;0;0.274876;26;0.000000;0.283401
EDGE;60;92;PodStorageAccess;1;1;0.274372;2;0.000000;0.283401
EDGE;60;321;Merge;1;0;0.409473;1;0.000000;1.283401
EDGE;61;88;Merge;1;0;-0.205715;2;0.000000;-0.383939
